URL	Label Comment
www.lsa.umich.edu/paleontology/collections /*	_cse_d6ieoekzj1u	
www.sdnhm.org/science/paleontology/collections/ /*	_cse_d6ieoekzj1u	
naturalsciences.org/research-collections/research-specialties/paleontology/*	_cse_d6ieoekzj1u	
www.jsg.utexas.edu/vpl/collections/*	_cse_d6ieoekzj1u	
cpms.byu.edu/ESM/*	_cse_d6ieoekzj1u	
www.dep.state.fl.us/geology/programs/*	_cse_d6ieoekzj1u	
webportals.ipsl.jussieu.fr/ScientificApps/dev/forge_patrick/proxies/v1.0/*	_cse_d6ieoekzj1u	
olga.er.usgs.gov/coreviewer/*	_cse_d6ieoekzj1u	
pubs.usgs.gov/ds/626/*	_cse_d6ieoekzj1u	
www.bgs.ac.uk/geoindex/*	_cse_d6ieoekzj1u	
www.bgs.ac.uk/data/bmd/*	_cse_d6ieoekzj1u	
www.bangor.ac.uk/oceansciences/research/php/*	_cse_d6ieoekzj1u	
www.vmnh.net/collections/*	_cse_d6ieoekzj1u	
cumuseum.colorado.edu/research/vertebrates/*	_cse_d6ieoekzj1u	
cumuseum.colorado.edu/research/invertebrates/*	_cse_d6ieoekzj1u	
cumuseum.colorado.edu/research/paleontology/*	_cse_d6ieoekzj1u	
cumuseum.colorado.edu/research/diatoms/*	_cse_d6ieoekzj1u	
www.business.qld.gov.au/industry/mining/geoscience-products-services/core-rock-collections/*	_cse_d6ieoekzj1u	
biodiversity.ku.edu/vertebrate-paleontology/*	_cse_d6ieoekzj1u	
biodiversity.ku.edu/paleobotany/*	_cse_d6ieoekzj1u	
www.snomnh.ou.edu/collections-research/*	_cse_d6ieoekzj1u	
www.snomnh.ou.edu/collections-research/*	_cse_d6ieoekzj1u	
www.ags.gov.ab.ca/services/mcrf/*	_cse_d6ieoekzj1u	
www.gov.mb.ca/iem/petroleum/core/*	_cse_d6ieoekzj1u	
economy.gov.sk.ca/*	_cse_d6ieoekzj1u	
www.carnegiemnh.org/science/*	_cse_d6ieoekzj1u	
http:imnh.isu.eduhomeindex.phpcollections-and-researchearth-sciences-divisionvertebrate-paleontology/*	_cse_d6ieoekzj1u	
http:imnh.isu.eduhomeindex.phpcollections-and-researchearth-sciences-divisionpaleobotany/*	_cse_d6ieoekzj1u	
www.cas.umt.edu/paleontology/browseCollections.cfm?collectionID=UMVP/*	_cse_d6ieoekzj1u	
www.cas.umt.edu/paleontology/browseCollections.cfm?collectionID=UMPB/*	_cse_d6ieoekzj1u	
